cycle,time,phi1,Ex1,Ey1
5040,2.52e-08,8.663709e-01,6.853032e-01,-6.013073e-02
5060,2.53e-08,8.130533e-01,7.754295e-01,-1.647231e-01
5080,2.54e-08,7.540150e-01,6.790069e-01,-9.556923e-02
5100,2.55e-08,6.745934e-01,8.106048e-01,3.652262e-03
5120,2.56e-08,5.932136e-01,6.877493e-01,-1.932945e-01
5140,2.57e-08,5.321438e-01,5.644678e-01,-3.811480e-02
5160,2.58e-08,4.947018e-01,7.363403e-01,9.181837e-02
5180,2.59e-08,4.662349e-01,6.918206e-01,-1.251930e-01
5200,2.6e-08,4.410067e-01,4.760822e-01,-2.079305e-01
5220,2.61e-08,4.181718e-01,7.095397e-01,-1.133375e-01
5240,2.62e-08,4.140696e-01,6.018473e-01,-1.464037e-01
5260,2.63e-08,4.157201e-01,6.864472e-01,-5.534404e-02
5280,2.64e-08,4.168880e-01,6.832582e-01,-9.822804e-02
5300,2.65e-08,4.157255e-01,6.528264e-01,2.590750e-02
5320,2.66e-08,4.218715e-01,7.663818e-01,-9.335532e-02
5340,2.67e-08,4.333084e-01,7.208276e-01,-1.272583e-02
5360,2.68e-08,4.487291e-01,5.889856e-01,-2.081414e-02
5380,2.69e-08,4.702074e-01,6.969566e-01,-2.093484e-01
5400,2.7e-08,5.028495e-01,7.145856e-01,3.078143e-02
5420,2.71e-08,5.525533e-01,6.834229e-01,-3.480053e-03
5440,2.72e-08,6.134804e-01,6.583050e-01,-7.281344e-02
5460,2.73e-08,6.764305e-01,6.962739e-01,-4.286800e-02
5480,2.74e-08,7.378391e-01,8.045548e-01,4.013786e-02
5500,2.75e-08,8.064809e-01,9.308056e-01,-1.510124e-01
5520,2.76e-08,8.639832e-01,7.442504e-01,-2.002094e-03
5540,2.77e-08,9.015296e-01,8.065183e-01,-9.201135e-02
5560,2.78e-08,9.239681e-01,7.173412e-01,-1.075739e-01
5580,2.79e-08,9.279277e-01,9.449630e-01,2.466545e-03
5600,2.8e-08,9.028563e-01,7.403187e-01,-1.071315e-01
5620,2.81e-08,8.543802e-01,6.690723e-01,9.917542e-02
5640,2.82e-08,7.962558e-01,6.862738e-01,-1.660505e-02
