t,phi
3.32e-08,-0.02449056
3.33e-08,-0.0635906
3.34e-08,-0.04003123
3.35e-08,-0.07249206
3.36e-08,-0.1897394
3.3700000000000004e-08,0.01015928
3.38e-08,-0.1391566
3.39e-08,-0.1258099
3.4e-08,-0.2387545
3.41e-08,-0.08510818
3.42e-08,-0.07973388
3.43e-08,-0.1256903
3.4400000000000004e-08,-0.05084752
3.4500000000000005e-08,-0.0224392
3.46e-08,-0.1647211
3.47e-08,-0.1567356
3.48e-08,-0.1521165
3.49e-08,-0.09321929
3.5e-08,-0.05015613
3.51e-08,-0.06582835
3.5200000000000004e-08,-0.1279767
3.53e-08,0.03000062
3.54e-08,-0.03644525
3.55e-08,-0.05123664
3.56e-08,0.03353563
3.57e-08,0.08813301
3.58e-08,-0.1585098
3.5900000000000004e-08,-0.0792673
3.6e-08,0.009265365
3.61e-08,0.1393154
3.62e-08,-0.1183396
3.63e-08,-0.09950224
3.64e-08,-0.006343423
3.65e-08,-0.08014431
3.6600000000000003e-08,-0.02954576
3.6700000000000004e-08,0.01038266
3.68e-08,-0.1317732
3.69e-08,-0.1265712
3.7e-08,0.1293133
3.71e-08,-0.2189936
3.72e-08,-0.02653014
3.73e-08,-0.02497982
3.7400000000000004e-08,0.05919619
3.75e-08,-0.06498153
3.76e-08,-0.04175998
3.77e-08,0.03602101
3.78e-08,0.08534908
3.79e-08,-0.08933225
3.8e-08,0.002723675
3.8100000000000004e-08,0.1574254
3.8200000000000005e-08,-0.06950463
3.83e-08,-0.01232664
3.84e-08,-5.129558e-05
3.85e-08,0.03510282
3.86e-08,-0.2479184
3.87e-08,0.04707061
3.8800000000000003e-08,-0.02401324
3.8900000000000004e-08,-0.1103737
3.9e-08,0.004240191
3.91e-08,-0.01053395
3.92e-08,-0.02048504
3.93e-08,-0.05906068
3.94e-08,-0.01375182
3.95e-08,0.1683643
3.9600000000000004e-08,-0.01586601
3.97e-08,0.01449751
3.98e-08,-0.02377526
3.99e-08,-0.106579
4e-08,-0.04448316
4.01e-08,0.0142675
4.02e-08,-0.008052324
4.0300000000000004e-08,-0.1788603
4.0400000000000004e-08,-0.1751291
4.05e-08,-0.146106
4.06e-08,-0.02234386
4.07e-08,0.06401734
4.08e-08,-0.1218996
4.09e-08,-0.03857112
4.1e-08,-0.04954718
4.1100000000000004e-08,-0.0147352
4.12e-08,0.04578509
4.13e-08,-0.06411883
4.14e-08,-0.1505822
4.15e-08,-0.08661541
4.16e-08,-0.1092927
4.17e-08,0.02968984
4.1800000000000004e-08,-0.1422693
4.1900000000000005e-08,0.01592362
4.2e-08,-0.06808553
4.21e-08,-0.1466601
