cycle,time,phi[ngx/4 ngy/2],Ex[ngx/4 ngy/2],Ey[ngx/4 ngy/2]
205400,1.027e-06,6.300760e-01,5.225551e-01,-8.563902e-01
205420,1.0271e-06,6.270604e-01,5.378867e-01,-6.092453e-01
205440,1.0272e-06,6.199710e-01,5.191613e-01,-8.391009e-01
205460,1.0273e-06,6.129087e-01,8.862246e-01,-7.837674e-01
205480,1.0274e-06,6.115165e-01,6.099890e-01,-8.055106e-01
205500,1.0275e-06,6.195833e-01,5.926116e-01,-8.485934e-01
205520,1.0276e-06,6.151497e-01,6.902599e-01,-7.589208e-01
205540,1.0277e-06,6.051226e-01,5.944789e-01,-8.133044e-01
205560,1.0278e-06,6.051697e-01,7.420954e-01,-6.670703e-01
205580,1.0279e-06,6.109812e-01,9.402696e-01,-5.509596e-01
205600,1.028e-06,6.136124e-01,6.723329e-01,-6.993880e-01
205620,1.0281e-06,6.190623e-01,9.264551e-01,-7.817768e-01
205640,1.0282e-06,6.328560e-01,8.741805e-01,-6.799833e-01
205660,1.0283e-06,6.379125e-01,9.356350e-01,-5.356356e-01
205680,1.0284e-06,6.340646e-01,9.357156e-01,-4.496779e-01
205700,1.0285e-06,6.349547e-01,7.646871e-01,-5.267186e-01
205720,1.0286e-06,6.281481e-01,9.188188e-01,-5.367632e-01
205740,1.0287e-06,6.315747e-01,9.065406e-01,-8.770036e-01
205760,1.0288e-06,6.366586e-01,7.005468e-01,-7.180928e-01
205780,1.0289e-06,6.372984e-01,7.236083e-01,-7.052228e-01
205800,1.029e-06,6.317564e-01,6.451480e-01,-7.329844e-01
205820,1.0291e-06,6.347862e-01,5.677509e-01,-8.332347e-01
205840,1.0292e-06,6.410525e-01,8.895872e-01,-6.384031e-01
205860,1.0293e-06,6.407074e-01,6.252750e-01,-7.870000e-01
205880,1.0294e-06,6.433216e-01,5.733727e-01,-8.895235e-01
205900,1.0295e-06,6.425889e-01,7.681484e-01,-7.940666e-01
205920,1.0296e-06,6.354018e-01,8.337628e-01,-4.792780e-01
205940,1.0297e-06,6.295782e-01,8.379306e-01,-5.372865e-01
205960,1.0298e-06,6.351374e-01,8.432403e-01,-8.036833e-01
205980,1.0299e-06,6.366286e-01,6.196291e-01,-9.866642e-01
